cluster,posN,negN,PN,OR,p,p_fdr
7d-1,282,387,1.3924449945182562,1.4279273569595592,8.216527931689306e-05,0.000295795005540815
7d-2,179,303,1.128886572867813,1.136046938027178,0.22103279503620976,0.2652393540434517
7d-3,138,485,0.5437224345780652,0.5244253754214087,5.490406380233874e-10,9.882731484420973e-09
7d-4,317,350,1.730737178140883,1.8058486196035657,2.4441225873091335e-06,1.7229231284534267e-05
7d-5,113,168,1.2853134932302825,1.2951189752056458,0.04148659023252718,0.06222988534879077
7d-6,196,237,1.5803294389711637,1.615819164412097,2.8715385474223773e-06,1.7229231284534267e-05
7d-7,209,439,0.9097491760094679,0.90383989586728,0.3149658361680864,0.3334932382956209
7d-8,117,135,1.6561207487993725,1.6794965489240576,0.00036127169139414997,0.0009289843492992427
7d-9,45,22,3.9086765924460725,3.9476785133816197,0.0002797635943712066,0.0008392907831136198
7d-10,62,86,1.3776317498957216,1.3846437799925926,0.07661631221506927,0.0985066871336605
7d-11,119,201,1.131333921395668,1.1360958764981612,0.2713623912997699,0.3052826902122412
7d-12,106,158,1.2820019428388525,1.2910739325024072,0.06884884081995904,0.09532916421225097
7d-13,113,359,0.6014837517066502,0.5877877857525657,1.3467198365999169e-05,6.060239264699626e-05
7d-14,69,77,1.7123726024049457,1.727124616080342,0.006356470709009503,0.012833290621979868
PCA-1,598,1428,0.800226412234991,0.7576061462758461,0.01307390882846189,0.021393668992028544
PCA-2,454,1045,0.8301937651324056,0.8040342705175482,0.006416645310989934,0.012833290621979868
PCA-3,94,259,0.6935343795090928,0.6848232309375821,0.007186254589054519,0.012935258260298134
PCA-4,190,360,1.0085350713842334,1.0090401051938982,0.9300981872455082,0.9300981872455082
