cluster,posN,negN,PN,OR,p,q
7d-1,164,391,0.8015064021338691,0.7914498837371666,0.02524543915096085,0.03245842176552109
7d-2,180,242,1.4213369427076625,1.4448826271805908,0.013455028033485264,0.022017318600248612
7d-3,116,84,2.638873720614385,2.696745669348267,2.189033402154606e-09,3.940260123878291e-08
7d-4,73,131,1.0648574397741122,1.0662800939518362,0.6982214297701441,0.7392932785801526
7d-5,81,75,2.063781240811526,2.0897349397591207,3.6676447927882746e-05,0.00022005868756729647
7d-6,60,65,1.763915590437202,1.7776345175328756,0.004962537430345212,0.012760810535173403
7d-7,124,132,1.7950959165307887,1.8251819383953927,9.42192701347068e-06,8.479734312123612e-05
7d-8,642,1284,0.9554542781534843,0.9450888002899567,0.4156595522587324,0.49879146271047886
7d-9,283,516,1.0480370570443256,1.0523970593353729,0.5463526834540166,0.6146467688857686
7d-10,103,261,0.7541133383127117,0.7464340399034582,0.019760388931204017,0.028604735989562
7d-11,49,35,2.675271978829756,2.699761336515699,0.00042505592246951226,0.001275167767408537
7d-12,21,7,5.732725668920906,5.762130177515181,0.00031972433490943966,0.0011510076056739827
7d-13,119,124,1.8338557919397522,1.8640900513061385,9.792603439906375e-05,0.0004406671547957869
7d-14,50,60,1.5924237969224737,1.60126330448614,0.020658975992461446,0.028604735989562
PCA-1,598,1428,0.800226412234991,0.7576061462758461,0.01307390882846189,0.022017318600248612
PCA-2,454,1045,0.8301937651324056,0.8040342705175482,0.006416645310989934,0.014372509178109038
PCA-3,94,259,0.6935343795090928,0.6848232309375821,0.007186254589054519,0.014372509178109038
PCA-4,190,360,1.0085350713842334,1.0090401051938982,0.9300981872455082,0.9300981872455082
