cluster,branch,posN,negN,PN,OR,lo,hi,p,q,label
7d-1,7d,117,135,1.6561207487993725,1.6794965489240576,1.2631148828965577,2.2331370614360977,0.00036127169139414997,0.0006113828623593307,Higher-risk
7d-2,7d,237,330,1.3723797813477319,1.4002729571313004,1.1643779177948783,1.6839587255197785,0.00034769028115461256,0.0006113828623593307,Higher-risk
7d-3,7d,137,379,0.690750586316767,0.6777704485487546,0.5423806629430936,0.8469564132934017,0.0006239362705417338,0.0009804712822798676,Lower-risk
7d-4,7d,119,201,1.131333921395668,1.1360958764981612,0.9050432258975578,1.4261350216903583,0.2713623912997699,0.2842844099330923,ns
7d-5,7d,146,149,1.8724338873880362,1.9115660986196277,1.3895600028412818,2.62967050139629,6.840378851175851e-05,0.0001881104184073359,Higher-risk
7d-6,7d,113,168,1.2853134932302825,1.2951189752056458,1.0100246821312013,1.6606853175097334,0.04148659023252718,0.050705832506422105,ns
7d-7,7d,138,485,0.5437224345780652,0.5244253754214087,0.4276913814449267,0.6430383830900265,5.490406380233874e-10,1.2078894036514521e-08,Lower-risk
7d-8,7d,183,233,1.50084234250719,1.5293240543401576,1.2477926153976608,1.874375624861389,4.263808608772217e-05,0.00015633964898831464,Higher-risk
7d-9,7d,59,72,1.5658834003070992,1.5758735620718676,1.0124926132268937,2.4527363964882243,0.0439041421609396,0.05083637513371954,ns
7d-10,7d,119,385,0.5906444628585176,0.5758018946318233,0.44875667415680265,0.7388142415587771,1.4244120723282356e-05,7.834266397805296e-05,Lower-risk
7d-11,7d,51,30,3.2485445457218467,3.282776119402723,1.792855710121041,6.010868018705889,0.0001172879436303088,0.0002867038622074215,Higher-risk
7d-12,7d,140,255,1.0491262662077476,1.0512353362074274,0.8440920508134514,1.3092123436373584,0.6554185376866444,0.6554185376866444,ns
7d-13,7d,104,158,1.2578132269362325,1.265945642951167,0.9629068016418777,1.6643546064628238,0.09117382173535736,0.1002912039088931,ns
7d-14,7d,38,43,1.688709886968949,1.6964919195899784,1.0579995651435894,2.7203081438350893,0.028233291052787702,0.03882077519758309,Higher-risk
7d-15,7d,131,141,1.7753831267816516,1.8064458758974464,1.3677544714779655,2.385842467047978,3.093829785539552e-05,0.0001361285105637403,Higher-risk
7d-16,7d,48,62,1.4794130758505564,1.486276132110984,1.0168661833205792,2.1723770316259685,0.040719863240402894,0.050705832506422105,ns
7d-17,7d,45,49,1.7549160210982366,1.7650385541583151,1.0933362569503602,2.849408018677569,0.02006240213367133,0.029424856462717953,Higher-risk
7d-18,7d,80,83,1.8418395723440661,1.8621187550564915,1.328277895003632,2.610512657762521,0.0003097488762203432,0.0006113828623593307,Higher-risk
7d-19,7d,60,49,2.339888028130982,2.363950668564416,1.6126897523375463,3.465181542392841,1.0370152742221568e-05,7.604778677629151e-05,Higher-risk
PCA-1,PCA,908,2240,0.7746004326458605,0.6925054438141494,0.5795115414760945,0.8275310419024925,5.2772759544747676e-05,0.0001658572442834927,Lower-risk
PCA-2,PCA,161,471,0.653198041540174,0.635964981258716,0.5226706921761366,0.7738169815940273,6.134757521667179e-06,6.748233273833896e-05,Lower-risk
PCA-3,PCA,267,381,1.3391406418214187,1.3680336065201708,1.1522107764759504,1.6242826284724037,0.0003470035207489556,0.0006113828623593307,Higher-risk
