cluster,posN,negN,PN,OR,lo,hi,p,q
7d-1,282,387,1.3924449945182562,1.4279273569595592,1.1959321191951677,1.704926645941822,8.216527931689306e-05,0.000295795005540815
7d-2,179,303,1.128886572867813,1.136046938027178,0.9261350966783354,1.3935360510899393,0.22103279503620976,0.2652393540434517
7d-3,138,485,0.5437224345780652,0.5244253754214087,0.4276913814449267,0.6430383830900265,5.490406380233874e-10,9.882731484420973e-09
7d-4,317,350,1.730737178140883,1.8058486196035657,1.4123067874125173,2.3090515927482973,2.4441225873091335e-06,1.7229231284534267e-05
7d-5,113,168,1.2853134932302825,1.2951189752056458,1.0100246821312013,1.6606853175097334,0.04148659023252718,0.06222988534879077
7d-6,196,237,1.5803294389711637,1.615819164412097,1.3216408105018456,1.9754774151458163,2.8715385474223773e-06,1.7229231284534267e-05
7d-7,209,439,0.9097491760094679,0.90383989586728,0.7420733174256938,1.1008704102114235,0.3149658361680864,0.3334932382956209
7d-8,117,135,1.6561207487993725,1.6794965489240576,1.2631148828965577,2.2331370614360977,0.00036127169139414997,0.0009289843492992427
7d-9,45,22,3.9086765924460725,3.9476785133816197,1.8821190008295774,8.280117058563203,0.0002797635943712066,0.0008392907831136198
7d-10,62,86,1.3776317498957216,1.3846437799925926,0.9657994595245305,1.9851309488369815,0.07661631221506927,0.0985066871336605
7d-11,119,201,1.131333921395668,1.1360958764981612,0.9050432258975578,1.4261350216903583,0.2713623912997699,0.3052826902122412
7d-12,106,158,1.2820019428388525,1.2910739325024072,0.980452545766621,1.7001046163676332,0.06884884081995904,0.09532916421225097
7d-13,113,359,0.6014837517066502,0.5877877857525657,0.46269399811820416,0.7467018860954424,1.3467198365999169e-05,6.060239264699626e-05
7d-14,69,77,1.7123726024049457,1.727124616080342,1.1664407732529145,2.557317531992587,0.006356470709009503,0.012833290621979868
PCA-1,598,1428,0.800226412234991,0.7576061462758461,0.608460134618598,0.9433108928898346,0.01307390882846189,0.021393668992028544
PCA-2,454,1045,0.8301937651324056,0.8040342705175482,0.6873202108202305,0.9405675811499905,0.006416645310989934,0.012833290621979868
PCA-3,94,259,0.6935343795090928,0.6848232309375821,0.5196269913697825,0.9025375229171774,0.007186254589054519,0.012935258260298134
PCA-4,190,360,1.0085350713842334,1.0090401051938982,0.8252404533451771,1.2337760827920075,0.9300981872455082,0.9300981872455082
