cluster,posN,negN,posRate,negRate,PN,chi2_p
PCA-1,84,157,0.030871003307607496,0.02698058085581715,1.144193428324637,0.34647853280649
PCA-2,483,1291,0.17750826901874311,0.22185942601821618,0.80009342945009,2.8861599804167306e-06
PCA-3,1,0,0.0003675119441381845,0.0,,0.6970515887520174
PCA-4,194,553,0.0712973171628078,0.09503351091252793,0.750233433219491,0.0003482794309971964
PCA-5,26,79,0.009555310547592797,0.013576215844646846,0.7038272414739555,0.14272259127390827
PCA-6,146,413,0.05365674384417494,0.07097439422581199,0.7560014344533995,0.002998004783235839
PCA-7,2,0,0.000735023888276369,0.0,,0.1903736860025651
PCA-8,131,279,0.04814406468210217,0.04794638253995532,1.004122983459328,1.0
7d-1,142,208,0.0521866960676222,0.03574497336312081,1.4599730020071806,0.00044404819806992776
7d-2,142,277,0.0521866960676222,0.047602680873002234,1.0962974166696517,0.38976621665061706
7d-3,71,275,0.0260933480338111,0.04725897920604915,0.5521352443954428,5.031935697071181e-06
7d-4,62,77,0.02278574053656744,0.013232514177693762,1.7219509634063108,0.0015827707061348163
7d-5,89,147,0.03270856302829842,0.025262072521051726,1.2947695800113506,0.05940771660144193
7d-6,237,360,0.08710033076074973,0.06186630005155525,1.4078800686022297,2.4912790594332728e-05
7d-7,91,124,0.033443586916574786,0.021309503351091254,1.5694212279641022,0.001110168215217971
7d-8,86,138,0.031606027195883866,0.023715415019762844,1.3327208134264366,0.04004727360583998
7d-9,114,424,0.04189636163175303,0.07286475339405396,0.5749880385263465,5.310027285196527e-08
7d-10,113,135,0.04152884968761485,0.02319986251933322,1.7900472320905982,3.6412570627618393e-06
7d-11,88,321,0.03234105108416024,0.0551641175459701,0.5862697079711165,5.422545074380689e-06
7d-12,91,183,0.033443586916574786,0.03144870252620725,1.0634329632106485,0.6733637730902902
7d-13,106,125,0.03895626607864756,0.021481354184567796,1.813492098493201,4.95585829091813e-06
7d-14,222,253,0.08158765159867695,0.043478260869565216,1.87651598676957,1.1678045434328676e-12
